index,features,n_features_in_,n_components,optimum_tr,auc_val,f1_val,prec_val,rec_val,auc_train,f1_train,prec_train,rec_train
147,"['V8', 'V23', 'V11', 'V20', 'V6', 'V5', 'V27', 'V21']",8,5,-37.85406707678196,0.9172612767079926,"(0.3068181818181818,)","(0.3375,)","(0.28125,)",0.9096273637027316,"(0.2530329289428076,)","(0.2874015748031496,)","(0.2260061919504644,)"
148,"['V16', 'V4', 'V11', 'V6', 'V27', 'V21', 'V17']",7,5,-32.81755127460244,0.9714037632990415,"(0.5380710659898477,)","(0.5247524752475248,)","(0.5520833333333334,)",0.9575389629641444,"(0.4670846394984326,)","(0.473015873015873,)","(0.4613003095975232,)"
149,"['V23', 'V10', 'V4', 'V18', 'V11', 'V9', 'V5', 'V1']",8,1,-223.49268010619164,0.9614496321697588,"(0.33121019108280253,)","(0.4262295081967213,)","(0.2708333333333333,)",0.9363788071389251,"(0.2653061224489796,)","(0.38922155688622756,)","(0.20123839009287925,)"
150,"['V8', 'V14', 'V15', 'V12', 'V11', 'V20', 'V9', 'V21']",8,1,-102.47013515211388,0.9668745786805006,"(0.3436426116838488,)","(0.2564102564102564,)","(0.5208333333333334,)",0.9576951681419572,"(0.3002070393374741,)","(0.2255054432348367,)","(0.44891640866873067,)"
151,"['V25', 'V7', 'V19', 'V11', 'V27', 'V21', 'V17']",7,4,-41.632784664819674,0.963715415164571,"(0.4912280701754386,)","(0.56,)","(0.4375,)",0.9540530778962084,"(0.44029850746268656,)","(0.5539906103286385,)","(0.3653250773993808,)"
152,"['V15', 'V25', 'V19', 'V11', 'V20', 'V6', 'V21', 'V17']",8,2,-62.72689043161364,0.9675845936281837,"(0.4385026737967914,)","(0.45054945054945056,)","(0.4270833333333333,)",0.9527430585821518,"(0.39032815198618304,)","(0.44140625,)","(0.3498452012383901,)"
153,"['V8', 'V25', 'V23', 'V9', 'V5', 'V27', 'V21']",7,7,-25.47415949722173,0.886221020545737,"(0.18867924528301888,)","(0.1724137931034483,)","(0.20833333333333334,)",0.8957449719615558,"(0.10494752623688156,)","(0.10174418604651163,)","(0.10835913312693499,)"
154,"['V2', 'V14', 'V7', 'V19', 'V18', 'V9', 'V22']",7,6,-38.283538624184814,0.9603516369178464,"(0.558659217877095,)","(0.6024096385542169,)","(0.5208333333333334,)",0.9582101057814294,"(0.5,)","(0.5691699604743083,)","(0.4458204334365325,)"
155,"['V2', 'V25', 'V4', 'V18', 'V13', 'V22', 'V26']",7,1,-59.93385298307216,0.9112825698291276,"(0.2577319587628866,)","(0.25510204081632654,)","(0.2604166666666667,)",0.899447775159299,"(0.2129783693843594,)","(0.2302158273381295,)","(0.19814241486068113,)"
156,"['V15', 'V23', 'V12', 'V11', 'V21', 'V22', 'V3']",7,7,-26.841641969919774,0.9536843474310501,"(0.5,)","(0.45,)","(0.5625,)",0.9424616284175348,"(0.4416315049226442,)","(0.40463917525773196,)","(0.48606811145510836,)"
157,"['V25', 'V10', 'V4', 'V19', 'V6', 'V5', 'V26']",7,7,-32.89562465818304,0.9630022861162402,"(0.33557046979865773,)","(0.4716981132075472,)","(0.2604166666666667,)",0.9424538717683149,"(0.2813186813186813,)","(0.48484848484848486,)","(0.19814241486068113,)"
158,"['V2', 'V14', 'V10', 'V12', 'V19', 'V5', 'V17', 'V24']",8,2,-61.443322219729076,0.9756874835135848,"(0.6630434782608696,)","(0.6931818181818182,)","(0.6354166666666666,)",0.960362081725832,"(0.5742904841402338,)","(0.6231884057971014,)","(0.5325077399380805,)"
159,"['V15', 'V12', 'V4', 'V18', 'V27', 'V22']",6,3,-37.94260530040813,0.959041516457106,"(0.5,)","(0.625,)","(0.4166666666666667,)",0.9315559303913943,"(0.43968871595330744,)","(0.5916230366492147,)","(0.3498452012383901,)"
160,"['V2', 'V14', 'V23', 'V4', 'V6', 'V5', 'V21']",7,3,-71.63911060951749,0.9663528752308098,"(0.33121019108280253,)","(0.4262295081967213,)","(0.2708333333333333,)",0.9526291380320523,"(0.2489451476793249,)","(0.39072847682119205,)","(0.1826625386996904,)"
161,"['V15', 'V25', 'V23', 'V12', 'V28', 'V17']",6,5,-19.527243818879274,0.9606165186552948,"(0.543778801843318,)","(0.48760330578512395,)","(0.6145833333333334,)",0.9512200748514974,"(0.47856154910096815,)","(0.4325,)","(0.5356037151702786,)"
162,"['V14', 'V16', 'V12', 'V4', 'V6', 'V22', 'V28']",7,3,-41.95576899510196,0.9686811234209678,"(0.5625,)","(0.5625,)","(0.5625,)",0.9511552741621173,"(0.4921630094043887,)","(0.4984126984126984,)","(0.48606811145510836,)"
163,"['V14', 'V10', 'V6', 'V21', 'V17', 'V26']",6,1,-166.74869597425652,0.973151506491984,"(0.5146198830409358,)","(0.5866666666666667,)","(0.4583333333333333,)",0.9510783442847559,"(0.4277673545966229,)","(0.5428571428571428,)","(0.35294117647058826,)"
164,"['V2', 'V16', 'V12', 'V7', 'V21', 'V24', 'V26']",7,3,-36.74719277718883,0.9327050177320555,"(0.5384615384615384,)","(0.5697674418604651,)","(0.5104166666666666,)",0.9345397106347664,"(0.4859504132231405,)","(0.5212765957446809,)","(0.4551083591331269,)"
165,"['V25', 'V23', 'V16', 'V11', 'V6', 'V24']",6,1,-35.97900565280272,0.9304974867375949,"(0.2838709677419355,)","(0.205607476635514,)","(0.4583333333333333,)",0.9124656271963736,"(0.23157894736842105,)","(0.16759002770083103,)","(0.3746130030959752,)"
166,"['V25', 'V12', 'V4', 'V27', 'V21', 'V17']",6,4,-30.205757086351465,0.9696485096280664,"(0.5561497326203207,)","(0.5714285714285714,)","(0.5416666666666666,)",0.9526304112617299,"(0.5204582651391163,)","(0.5520833333333334,)","(0.49226006191950467,)"
167,"['V15', 'V23', 'V4', 'V18', 'V20', 'V21']",6,2,-31.27462849165921,0.9256981080922654,"(0.26291079812206575,)","(0.23931623931623933,)","(0.2916666666666667,)",0.9110460933770227,"(0.21605839416058395,)","(0.20441988950276244,)","(0.22910216718266255,)"
168,"['V25', 'V10', 'V20', 'V9', 'V27', 'V21', 'V24', 'V26']",8,2,-107.46691910203573,0.9011287698936077,"(0.07339449541284403,)","(0.3076923076923077,)","(0.041666666666666664,)",0.9089290809896875,"(0.0345821325648415,)","(0.25,)","(0.018575851393188854,)"
169,"['V2', 'V12', 'V19', 'V13', 'V21', 'V22', 'V3', 'V26']",8,1,-158.67473582020514,0.9318557841671795,"(0.2906976744186046,)","(0.32894736842105265,)","(0.2604166666666667,)",0.9244827542129118,"(0.2541436464088398,)","(0.31363636363636366,)","(0.21362229102167182,)"
170,"['V14', 'V15', 'V12', 'V17', 'V5', 'V22', 'V28']",7,7,-30.435290520726056,0.9639020780210441,"(0.5901639344262296,)","(0.6206896551724138,)","(0.5625,)",0.9534135815376201,"(0.5137931034482758,)","(0.5797665369649806,)","(0.4613003095975232,)"
